blockNumber,answer,totalSupply,diff
22213875,1508155731876,59271936191,1448883795685
22215700,1508155731876,59251921537,1448903810339
22217525,1508767776576,59863966237,1448903810339
22219350,1508767776576,59863966237,1448903810339
22221175,1508767776576,59863966237,1448903810339
22223000,1508767776576,61721866375,1447045910201
22224825,1510620725676,61721866375,1448898859301
22226650,1510620725676,61721866375,1448898859301
22228475,1510620725676,61721866375,1448898859301
22230300,1510620725676,61721866375,1448898859301
22232125,1510620725676,61708710774,1448912014902
22233950,1510620725676,61708710774,1448912014902
22235775,1510620725676,59921215483,1450699510193
22237600,1508737121205,59931088363,1448806032842
22239425,1508737121205,59931088363,1448806032842
22241250,1508737121205,59931088363,1448806032842
22243075,1508737121205,59931088363,1448806032842
22244900,1508737121752,59931088363,1448806033389
22246725,1508737121752,59931088363,1448806033389
22248550,1508737121752,59931088363,1448806033389
22250375,1508737121752,56507018489,1452230103263
22252200,1505313051654,56507018489,1448806033165
22254025,1505313051654,56506935487,1448806116167
22255850,1505313051654,56506935487,1448806116167
22257675,1505313051654,56506935487,1448806116167
22259500,1505313051654,56506935487,1448806116167
22261325,1505313051654,56506935487,1448806116167
22263150,1505313051654,56506935487,1448806116167
22264975,1505313051654,57179769787,1448133281867
22266800,1505985885954,57179769787,1448806116167
22268625,1505985885954,57179769787,1448806116167
22270450,1505985885954,57179769787,1448806116167
22272275,1505985885954,57545195009,1448440690945
22274100,1506326467954,57545195009,1448781272945
22275925,1506326467954,57545195009,1448781272945
22277750,1506326467954,57545195009,1448781272945
22279575,1506326467954,57545195009,1448781272945
22281400,1506326467954,57545195009,1448781272945
22283225,1506326467954,57545195009,1448781272945
22285050,1506326467954,57611651577,1448714816377
22286875,1506326467954,57611651577,1448714816377
22288700,1506326371954,57611651577,1448714720377
22290525,1506326371954,57611651577,1448714720377
22292350,1506326371954,57611651577,1448714720377
22294175,1506326371954,57611651577,1448714720377
22296000,1506326367559,57611651577,1448714715982
22297825,1506326367559,57612651577,1448713715982
22299650,1506326367559,57612651577,1448713715982
22301475,1506326367559,57612651577,1448713715982
22303300,1510160489553,57612651577,1452547837976
22305125,1510160489553,57612651577,1452547837976
22306950,1510160489553,57612651577,1452547837976
22308775,1510160489553,76548405777,1433612083776
22310600,1510262118085,76548405777,1433713712308
22312425,1510262118085,76548405777,1433713712308
22314250,1510262118085,76548405777,1433713712308
22316075,1510262118085,71077988329,1439184129756
22317900,1494199287913,61984577548,1432214710365
22319725,1494199287913,61984577548,1432214710365
22321550,1494199287913,61984577548,1432214710365
22323375,1494199287913,70183656348,1424015631565
22325200,1499398328535,70183656348,1429214672187
22327025,1499398328535,70183656348,1429214672187
22328850,1499398328535,70183656348,1429214672187
22330675,1499398328535,73038120548,1426360207987
22332500,1502252793335,73038120548,1429214672787
22334325,1502252793335,73038120548,1429214672787
22336150,1502252793335,73038120548,1429214672787
22337975,1502252793335,73038120548,1429214672787
22339800,1502252788855,73038120548,1429214668307
22341625,1502252788855,73038120548,1429214668307
22343450,1502252788855,73038120548,1429214668307
22345275,1502252788855,74423091348,1427829697507
22347100,1503637726060,74423091348,1429214634712
22348925,1503637726060,74423091348,1429214634712
22350750,1503637726060,74423091348,1429214634712
22352575,1503637726060,74423091348,1429214634712
22354400,1508621528770,74423091348,1434198437422
22356225,1508621528770,74423091348,1434198437422
22358050,1508621528770,74423091348,1434198437422
22359875,1508621528770,79406894648,1429214634122
22361700,1508621528770,79079311942,1429542216828
22363525,1508621528770,79079311942,1429542216828
22365350,1508621528770,79979319842,1428642208928
22367175,1508621528770,79979319842,1428642208928
22369000,1509193950516,79979319842,1429214630674
22370825,1509193950516,79979319842,1429214630674
22372650,1509193950516,79939228049,1429254722467
22374475,1509193949066,79939228049,1429254721017
22376300,1509193949066,79939114592,1429254834474
22378125,1509193949066,79939114592,1429254834474
22379950,1509193949066,104216666806,1404977282260
22381775,1492471495248,104216666806,1388254828442
22383600,1492471495248,104216666806,1388254828442
22385425,1492471495248,103126548669,1389344946579
22387250,1492471494680,103126548669,1389344946011
22389075,1492471494680,103126548669,1389344946011
22390900,1492471494680,62726548669,1429744946011
22392725,1492471494680,62726548669,1429744946011
22394550,1497357992499,68703165569,1428654826930
22396375,1497357992499,68703165569,1428654826930
22398200,1497357992499,68703165569,1428654826930
22400025,1497357992499,66097633056,1431260359443
22401850,1497562569081,66097633056,1431464936025
22403675,1497562569081,66097633056,1431464936025
22405500,1497562569081,66302212256,1431260356825
22407325,1497562569081,66302212256,1431260356825
22409150,1497020867350,66302212256,1430718655094
22410975,1497020867350,66302212256,1430718655094
22412800,1497020867350,66302212256,1430718655094
22414625,1497020867350,66302212256,1430718655094
22416450,1497020867426,101726274356,1395294593070
22418275,1497020867426,101726274356,1395294593070
22420100,1497020867426,101726274356,1395294593070
22421925,1497020867426,99977976157,1397042891269
22423750,1498260637426,99977976157,1398282661269
22425575,1498260637426,101217746157,1397042891269
22427400,1498260637426,101217746157,1397042891269
22429225,1498260637426,99263952991,1398996684435
22431050,1494558543877,99263952991,1395294590886
22432875,1494558543877,99263952991,1395294590886
22434700,1494558543877,99263952991,1395294590886
22436525,1494558543877,99263952991,1395294590886
22438350,1495245490077,99948034361,1395297455716
22440175,1495245490077,99948034361,1395297455716
22442000,1495245490077,99899931505,1395345558572
22443825,1495245490077,99899931505,1395345558572
22445650,1497586860277,92371081705,1405215778572
22447475,1487716638525,92371081705,1395345556820
22449300,1487716638525,92371081705,1395345556820
22451125,1487716638525,92371081705,1395345556820
22452950,1487716638525,92371081705,1395345556820
22454775,1491624041825,92371081705,1399252960120
22456600,1491624041825,92371081705,1399252960120
22458425,1491624041825,97778367005,1393845674820
22460250,1491624041825,97778367005,1393845674820
22462075,1497179512780,97778367005,1399401145775
22463900,1497179512780,97778367005,1399401145775
22465725,1497179512780,103333841005,1393845671775
22467550,1497575770680,103730098905,1393845671775
22469375,1497575770680,103710435641,1393865335039
22471200,1497575770680,103710435641,1393865335039
22473025,1497575770680,103417509238,1394158261442
22474850,1496382928620,103417509238,1392965419382
22476675,1496382928620,103806599094,1392576329526
22478500,1496382928620,101630876002,1394752052618
22480325,1496382928620,101630876002,1394752052618
22482150,1494207201536,101630876002,1392576325534
22483975,1494207201536,101630876002,1392576325534
22485800,1494207201536,101630876002,1392576325534
22487625,1494207201536,101630876002,1392576325534
22489450,1494207202764,101630876002,1392576326762
22491275,1494207202764,101630876002,1392576326762
22493100,1494207202764,135630876002,1358576326762
22494925,1494207202764,134492741410,1359714461354
22496750,1494365825352,134492741410,1359873083942
22498575,1494365825352,134492741410,1359873083942
22500400,1494365825352,134492741410,1359873083942
22502225,1494365825352,106892741410,1387473083942
22504050,1493210153692,106892741410,1386317412282
22505875,1493210153692,106892741410,1386317412282
22507700,1493210153692,106892741410,1386317412282
22509525,1493210153692,113126283810,1380083869882
22511350,1494302437846,113126283810,1381176154036
22513175,1494302437846,113126283810,1381176154036
22515000,1494302437846,113126283810,1381176154036
22516825,1494302437846,113126283810,1381176154036
22518650,1494302437846,113126283810,1381176154036
22520475,1494302437846,113126283810,1381176154036
22522300,1494302437846,111476021661,1382826416185
22524125,1494302437846,81863618061,1412438819785
22525950,1463039766381,81863618061,1381176148320
22527775,1463039766381,80676564619,1382363201762
22529600,1463039766381,79255052153,1383784714228
22531425,1463039766381,79255052153,1383784714228
22533250,1460431200069,79255052153,1381176147916
22535075,1460431200069,79255052153,1381176147916
22536900,1460431200069,79345336888,1381085863181
22538725,1460516406269,79345336888,1381171069381
22540550,1460516406269,79343334828,1381173071441
22542375,1460516406269,79343334828,1381173071441
22544200,1460516406269,77912668282,1382603737987
22546025,1449648778689,68475712082,1381173066607
22547850,1449648778689,68475712082,1381173066607
22549675,1449648778689,68475712082,1381173066607
