blockNumber,answer,totalSupply,diff
22213875,12894491528387,12891505657878,2985870509
22215700,12894491528387,12891505657878,2985870509
22217525,12894491528387,12891505657878,2985870509
22219350,12894491528934,12891505657878,2985871056
22221175,12894491528934,12891505657878,2985871056
22223000,12894491528934,12891505657878,2985871056
22224825,12894491528934,12891505657878,2985871056
22226650,12894491528934,12891505657878,2985871056
22228475,12894491528934,12891505657878,2985871056
22230300,12894491528934,12891505657878,2985871056
22232125,12894491528934,12891505657878,2985871056
22233950,12894491528934,12891505657878,2985871056
22235775,12894491528934,12891505657878,2985871056
22237600,12894491491644,12891505657878,2985833766
22239425,12894491491644,12891505657878,2985833766
22241250,12894491491644,12891505657878,2985833766
22243075,12894491491644,12891505657878,2985833766
22244900,12894491491644,12891505657878,2985833766
22246725,12894491491644,12891505657878,2985833766
22248550,12894491491644,12891505657878,2985833766
22250375,12894491491644,12891505657878,2985833766
22252200,12894491491644,12891505657878,2985833766
22254025,12894491491644,12891505657878,2985833766
22255850,12892021453606,12891505657878,515795728
22257675,12892021453606,12891505657878,515795728
22259500,12892021453606,12891505657878,515795728
22261325,12892021453606,12891505657878,515795728
22263150,12892021454206,12891505657878,515796328
22264975,12892021454206,12891505657878,515796328
22266800,12892021454206,12891505657878,515796328
22268625,12892021454206,12891505657878,515796328
22270450,12892021454206,12891505657878,515796328
22272275,12892021454206,12891505657878,515796328
22274100,12892021454206,12891505657878,515796328
22275925,12892021454206,12891505657878,515796328
22277750,12892021454206,12891505657878,515796328
22279575,12892021454206,12891505657878,515796328
22281400,12892021454206,12891505657878,515796328
22283225,12892021454206,12891495657878,525796328
22285050,12892021454206,12891495657878,525796328
22286875,12892021454206,12891495657878,525796328
22288700,12892021454206,12891495657878,525796328
22290525,12892021454206,12891495657878,525796328
22292350,12892011467756,12891495657878,515809878
22294175,12892011467756,12891495657878,515809878
22296000,12892011467756,12881495633878,10515833878
22297825,12892011467756,12881495633878,10515833878
22299650,12892011467756,12881495633878,10515833878
22301475,12892011467756,12881495633878,10515833878
22303300,12882031437354,12881495633878,535803476
22305125,12882031437354,12881495633878,535803476
22306950,12882031437354,12881495633878,535803476
22308775,12882031437354,12881495633878,535803476
22310600,12882031437354,12881495633878,535803476
22312425,12882031437354,12881495633878,535803476
22314250,12882031437354,12881495633878,535803476
22316075,12882031437354,12881495633878,535803476
22317900,12882031438354,12881495633878,535804476
22319725,12882031438354,12881495633878,535804476
