blockNumber,answer,totalSupply,diff
22213875,3243664568319,2164496599836,1079167968483
22215700,3243664568319,2164143316018,1079521252301
22217525,3243664568319,2162861255084,1080803313235
22219350,3282084592592,2196116069048,1085968523544
22221175,3263426496985,2181319233178,1082107263807
22223000,3291208519416,2190316112198,1100892407218
22224825,3310969523797,2198744542529,1112224981268
22226650,3329794518991,2218059531830,1111734987161
22228475,3329794518991,2222215649348,1107578869643
22230300,3414716359602,2297029946496,1117686413106
22232125,3453174464349,2342400328453,1110774135896
22233950,3471044705736,2356323863874,1114720841862
22235775,3471044705736,2363956078297,1107088627439
22237600,3470290651248,2364745885495,1105544765753
22239425,3470290651248,2360244169868,1110046481380
22241250,3496840012787,2381090977059,1115749035728
22243075,3496840012787,2374725232065,1122114780722
22244900,3534450640974,2415301952374,1119148688600
22246725,3633634231517,2511966780111,1121667451406
22248550,3630974939538,2512420852540,1118554086998
22250375,3630974939538,2516683557792,1114291381746
22252200,3630974939538,2521083155671,1109891783867
22254025,3676919515236,2556086640710,1120832874526
22255850,3676919515236,2556086640710,1120832874526
22257675,3676919515236,2562503698004,1114415817232
22259500,3697270227737,2567751056866,1129519170871
22261325,3697270227737,2571558490140,1125711737597
22263150,3697270227737,2571558490140,1125711737597
22264975,3697270227737,2546299105786,1150971121951
22266800,3674519395607,2551445246146,1123074149461
22268625,3693594311431,2556627331077,1136966980354
22270450,3682182176333,2560787570735,1121394605598
22272275,3682182176333,2560787570735,1121394605598
22274100,3705170736365,2560787570735,1144383165630
22275925,3705170736365,2572047195163,1133123541202
22277750,3726040275372,2581257458639,1144782816733
22279575,3726040275372,2581257458639,1144782816733
22281400,3787043486638,2634236158291,1152807328347
22283225,3867041795556,2716720520730,1150321274826
22285050,3867041795556,2716720520730,1150321274826
22286875,3867041795556,2720642631906,1146399163650
22288700,3867041795556,2720642631906,1146399163650
22290525,3889635491971,2730426638020,1159208853951
22292350,3889635491971,2730426638020,1159208853951
22294175,3889635491971,2724286285540,1165349206431
22296000,3889635491971,2729060801811,1160574690160
22297825,3893903348786,2729060801811,1164842546975
22299650,3893903348786,2729060801811,1164842546975
22301475,3893903348786,2722941804823,1170961543963
22303300,3918957494741,2722941804823,1196015689918
22305125,3918957494741,2722941804823,1196015689918
22306950,3918957494741,2722941804823,1196015689918
22308775,3940261118161,2722941804823,1217319313338
22310600,3940261118161,2722941804823,1217319313338
22312425,3940261118161,2722941804823,1217319313338
22314250,3940261118161,2722941804823,1217319313338
22316075,3941276625545,2720427180240,1220849445305
22317900,3941276625545,2724167531723,1217109093822
22319725,3941276625545,2724167531723,1217109093822
22321550,3941276625545,2715580101606,1225696523939
22323375,3939414676973,2715580101606,1223834575367
22325200,3939414676973,2722880058944,1216534618029
22327025,3939414676973,2719872701991,1219541974982
22328850,3939414676973,2714243535603,1225171141370
22330675,3959929204530,2732448229922,1227480974608
22332500,3959929204530,2740244928997,1219684275533
22334325,3984893827224,2740244928997,1244648898227
