blockNumber,answer,totalSupply,diff
22213875,2445781058624298477419928,2445342079147324819042960,438979476973658376968
22215700,2445781058624298477419928,2450013921915821496609404,-4232863291523019189476
22217525,2445864778852655783578088,2445459692899785700287150,405085952870083290938
22219350,2445864778852655783578088,2446584897919557748157995,-720119066901964579907
22221175,2445864778852655783578088,2448267397346928730631145,-2402618494272947053057
22223000,2445864778852655783578088,2446239728092065085746477,-374949239409302168389
22224825,2446659896747410392525122,2446259151401161399958641,400745346248992566481
22226650,2446659896747410392525122,2439151524779116107213410,7508371968294285311712
22228475,2446659896747410392525122,2439289486010639014230054,7370410736771378295068
22230300,2446659896747410392525122,2438087235900885847830627,8572660846524544694495
22232125,2428690299225831227762383,2428341495030779354216893,348804195051873545490
22233950,2428690299225831227762383,2428369359269800387332961,320939956030840429422
22235775,2428690299225831227762383,2428611874276282028381437,78424949549199380946
22237600,2428690299225831227762383,2428795587971639764040368,-105288745808536277985
22239425,2429041610420924043439688,2428704959568370952921580,336650852553090518108
22241250,2429041610420924043439688,2428055983563984236303833,985626856939807135855
22243075,2429041610420924043439688,2427129184665814021826894,1912425755110021612794
22244900,2429041610420924043439688,2420541950641926958345969,8499659778997085093719
22246725,2420882980000595977915079,2419413808314563116411313,1469171686032861503766
22248550,2420882980000595977915079,2418639708417929996949029,2243271582665980966050
22250375,2420882980000595977915079,2418719201911401978845063,2163778089193999070016
22252200,2420882980000595977915079,2418276434686516414921072,2606545314079562994007
22254025,2418589669140651185229784,2416566391999028838245561,2023277141622346984223
22255850,2418589669140651185229784,2409133678419213588135840,9455990721437597093944
22257675,2418589669140651185229784,2407500450186339985183766,11089218954311200046018
22259500,2418589669140651185229784,2407549041156455171626166,11040627984196013603618
22261325,2406916701429818314596817,2405462653476725422776950,1454047953092891819867
22263150,2406916701429818314596817,2404104524270126332548115,2812177159691982048702
22264975,2406916701429818314596817,2404243777531598637740813,2672923898219676856004
22266800,2406916701429818314596817,2403536382383403445897105,3380319046414868699712
22268625,2403800531219924654685545,2403053532661905874702310,746998558018779983235
22270450,2403800531219924654685545,2400037139449737192683568,3763391770187462001977
22272275,2403800531219924654685545,2398698667450554490561121,5101863769370164124424
22274100,2398078245992300312826928,2397840522503095538064934,237723489204774761994
22275925,2398078245992300312826928,2398183024722444961333308,-104778730144648506380
22277750,2398078245992300312826928,2398363585126411890856759,-285339134111578029831
22279575,2398078245992300312826928,2398562415547474544926723,-484169555174232099795
22281400,2400979652019071047981272,2400676482518105128899018,303169500965919082254
22283225,2400979652019071047981272,2400016594174664847193679,963057844406200787593
22285050,2400979652019071047981272,2400066130573308975211373,913521445762072769899
22286875,2400979652019071047981272,2400215539392216661481205,764112626854386500067
22288700,2400581962098553879542734,2400333791010551632083839,248171088002247458895
22290525,2400581962098553879542734,2400432953781352226611162,149008317201652931572
22292350,2400581962098553879542734,2408617315710216452440064,-8035353611662572897330
22294175,2400581962098553879542734,2408628695538928107934150,-8046733440374228391416
22296000,2408991951043630011024371,2408633267440131804238954,358683603498206785417
22297825,2408991951043630011024371,2408631419598623609363850,360531445006401660521
22299650,2408991951043630011024371,2408601610073559743735881,390340970070267288490
22301475,2408991951043630011024371,2409012701949053832634317,-20750905423821609946
22303300,2409349900439197022012020,2409187232488266365703229,162667950930656308791
22305125,2409349900439197022012020,2411662737139928410170834,-2312836700731388158814
22306950,2409349900439197022012020,2412272932248255974505382,-2923031809058952493362
22308775,2409349900439197022012020,2412860329514494204895106,-3510429075297182883086
22310600,2413201351139977646134082,2412983133141376932715948,218217998600713418134
22312425,2413201351139977646134082,2414940785150748235228677,-1739434010770589094595
22314250,2413201351139977646134082,2415189919420182549436104,-1988568280204903302022
22316075,2413201351139977646134082,2415932875017054833653775,-2731523877077187519693
22317900,2416192309543492451932505,2418411342950712605953881,-2219033407220154021376
22319725,2416192309543492451932505,2418545951534451971430000,-2353641990959519497495
22321550,2416192309543492451932505,2418653618679583960897797,-2461309136091508965292
22323375,2416192309543492451932505,2434236166781529209088260,-18043857238036757155755
22325200,2434535164857413071162051,2429080963186518446735985,5454201670894624426066
22327025,2434535164857413071162051,2429346126252156714567914,5189038605256356594137
22328850,2434535164857413071162051,2428950032047233323706871,5585132810179747455180
22330675,2434535164857413071162051,2434652677074090319607467,-117512216677248445416
22332500,2434254514440223729918069,2447299539727951462613800,-13045025287727732695731
22334325,2434254514440223729918069,2446971035123882294911316,-12716520683658564993247
22336150,2434254514440223729918069,2446004189229458642895958,-11749674789234912977889
22337975,2434254514440223729918069,2446707501621525574892760,-12452987181301844974691
22339800,2447043458704645738911645,2439041751405246054926424,8001707299399683985221
22341625,2447043458704645738911645,2439858202401887432515243,7185256302758306396402
22343450,2447043458704645738911645,2440136303789756935882165,6907154914888803029480
22345275,2447043458704645738911645,2440150362318360663415788,6893096386285075495857
22347100,2440452054247854372156691,2442879789096838663723738,-2427734848984291567047
22348925,2440452054247854372156691,2443409723311327341612338,-2957669063472969455647
22350750,2440452054247854372156691,2456743774801540201068010,-16291720553685828911319
22352575,2440452054247854372156691,2456712574094167142255559,-16260519846312770098868
22354400,2456911101458662989211064,2456210015156775067963331,701086301887921247733
22356225,2456911101458662989211064,2455540041146406050408588,1371060312256938802476
22358050,2456911101458662989211064,2456075512952700288656819,835588505962700554245
22359875,2456911101458662989211064,2458144730811697197248522,-1233629353034208037458
22361700,2458406873803298885977459,2458248733414810192536295,158140388488693441164
22363525,2458406873803298885977459,2429685194208042179948469,28721679595256706028990
22365350,2458406873803298885977459,2435605545823851298597127,22801327979447587380332
22367175,2458406873803298885977459,2433164013295469310108685,25242860507829575868774
22369000,2433384579298549206334438,2433332172665585243140382,52406632963963194056
22370825,2433384579298549206334438,2435845074468974824502989,-2460495170425618168551
22372650,2433384579298549206334438,2434913927325880491719353,-1529348027331285384915
22374475,2434956606638360747951449,2434772026055348626897112,184580583012121054337
22376300,2434956606638360747951449,2434787805911081154290275,168800727279593661174
22378125,2434956606638360747951449,2434398099430478739740212,558507207882008211237
22379950,2434956606638360747951449,2434469657791379856547008,486948846980891404441
22381775,2434280449673798303957998,2434145130741178541522750,135318932619762435248
22383600,2434280449673798303957998,2434410451728019531052278,-130002054221227094280
22385425,2434280449673798303957998,2432582623727313097153130,1697825946485206804868
22387250,2434280449673798303957998,2431717764228531217146546,2562685445267086811452
22389075,2432073927511391203848313,2431652679271334434709354,421248240056769138959
22390900,2432073927511391203848313,2431661452159215908183348,412475352175295664965
22392725,2432073927511391203848313,2431685504467796868746789,388423043594335101524
22394550,2432073927511391203848313,2431773711573411925131664,300215937979278716649
22396375,2430966991544963071110808,2430838234808130382751686,128756736832688359122
22398200,2430966991544963071110808,2431680890473540485408811,-713898928577414298003
22400025,2430966991544963071110808,2430791753271911428609977,175238273051642500831
22401850,2430966991544963071110808,2432836588838283296251046,-1869597293320225140238
22403675,2433025506146604034174602,2432907556127874112380989,117950018729921793613
22405500,2433025506146604034174602,2429947878607476720784298,3077627539127313390304
22407325,2433025506146604034174602,2429018920811414622823523,4006585335189411351079
22409150,2433025506146604034174602,2429043406984123009199648,3982099162481024974954
22410975,2428528926539368817441394,2461365892663202140898527,-32836966123833323457133
22412800,2428528926539368817441394,2460864584244973565008717,-32335657705604747567323
22414625,2428528926539368817441394,2460856510620518446753161,-32327584081149629311767
22416450,2428528926539368817441394,2459381104358283099473779,-30852177818914282032385
22418275,2459478911657433745087687,2459400249071373522331164,78662586060222756523
22420100,2459478911657433745087687,2459508848420690774790810,-29936763257029703123
22421925,2459478911657433745087687,2460084055197314803477877,-605143539881058390190
22423750,2459478911657433745087687,2460049084084771471156400,-570172427337726068713
22425575,2460216999359525150170049,2460189277052675781541937,27722306849368628112
22427400,2460216999359525150170049,2467809506436051002514157,-7592507076525852344108
22429225,2460216999359525150170049,2470040555095730687287318,-9823555736205537117269
22431050,2460216999359525150170049,2470081794457314198320313,-9864795097789048150264
22432875,2469936700693048492877712,2470161863995515228022812,-225163302466735145100
22434700,2469936700693048492877712,2470176152792137163501562,-239452099088670623850
22436525,2469936700693048492877712,2470302929641903430074895,-366228948854937197183
22438350,2529716255552750772057136,2545683512924335926046210,-15967257371585153989074
22440175,2529716255552750772057136,2556735890978225600170365,-27019635425474828113229
22442000,2529716255552750772057136,2566148522505662852264874,-36432266952912080207738
22443825,2529716255552750772057136,2568862443198460826847113,-39146187645710054789977
22445650,2568804203272384495235713,2568936018030690852693785,-131814758306357458072
22447475,2507224685932552443842059,2507186093208913404058412,38592723639039783647
22449300,2507224685932552443842059,2507341744321962800510061,-117058389410356668002
22451125,2507224685932552443842059,2518214378569897136073698,-10989692637344692231639
22452950,2507224685932552443842059,2518210530277938878738032,-10985844345386434895973
22454775,2517818000527131143774374,2518296161906676486042231,-478161379545342267857
22456600,2517818000527131143774374,2515802243711763716600887,2015756815367427173487
22458425,2517818000527131143774374,2513573064714989885249760,4244935812141258524614
22460250,2517818000527131143774374,2516309757659230620393532,1508242867900523380842
22462075,2516276545654368507576085,2516211814455752306029349,64731198616201546736
22463900,2516276545654368507576085,2514631136408612488358399,1645409245756019217686
22465725,2516276545654368507576085,2513808632297730843464339,2467913356637664111746
22467550,2516276545654368507576085,2511424828945478623979231,4851716708889883596854
22469375,2504522139074720201156639,2510979055864218160316657,-6456916789497959160018
22471200,2504522139074720201156639,2511104102171386459254959,-6581963096666258098320
22473025,2504522139074720201156639,2507267359743348531909051,-2745220668628330752412
22474850,2504522139074720201156639,2507616016542276130817779,-3093877467555929661140
22476675,2507166184308079452180712,2504971485437982916052945,2194698870096536127767
22478500,2507166184308079452180712,2504500684245624444744739,2665500062455007435973
22480325,2507166184308079452180712,2505385659169705207091765,1780525138374245088947
22482150,2507166184308079452180712,2503584046366106029538365,3582137941973422642347
22483975,2485696415032386394114434,2503452848283111805510427,-17756433250725411395993
22485800,2485696415032386394114434,2502743407409379760433042,-17046992376993366318608
22487625,2485696415032386394114434,2501420006003870095734132,-15723590971483701619698
22489450,2485696415032386394114434,2522078290755424950288726,-36381875723038556174292
22491275,2514805228380033325695116,2528766020133174325692460,-13960791753140999997344
22493100,2514805228380033325695116,2529158607646870252222818,-14353379266836926527702
22494925,2514805228380033325695116,2532624903082978601040787,-17819674702945275345671
22496750,2514805228380033325695116,2544191149429525103913678,-29385921049491778218562
22498575,2546397273302845368096601,2550488053660489063017060,-4090780357643694920459
22500400,2546397273302845368096601,2550558325176170801445239,-4161051873325433348638
22502225,2546397273302845368096601,2551065914264390460595847,-4668640961545092499246
22504050,2552026596172513671497045,2552014745839087186164984,11850333426485332061
22505875,2552026596172513671497045,2552381148417117387788128,-354552244603716291083
22507700,2552026596172513671497045,2552506024451367733705208,-479428278854062208163
22509525,2552026596172513671497045,2552389863268591251320215,-363267096077579823170
22511350,2544635603183894496518874,2543251356737119753783877,1384246446774742734997
22513175,2544635603183894496518874,2543280499320210750535202,1355103863683745983672
22515000,2544635603183894496518874,2547383359827111315818583,-2747756643216819299709
22516825,2544635603183894496518874,2546936921264291703288233,-2301318080397206769359
22518650,2547133483990165850441458,2547133225654968120981252,258335197729460206
22520475,2547133483990165850441458,2546993405417320031827354,140078572845818614104
22522300,2547133483990165850441458,2544887698422714507969880,2245785567451342471578
22524125,2547133483990165850441458,2557084023598356404537526,-9950539608190554096068
22525950,2562391450907353943621842,2562060329115522886223959,331121791831057397883
22527775,2562391450907353943621842,2562671604547110605647501,-280153639756662025659
22529600,2562391450907353943621842,2565446708147278381497651,-3055257239924437875809
22531425,2562391450907353943621842,2563333537880358921069680,-942086973004977447838
22533250,2568828586290466365122881,2579836538500062674717928,-11007952209596309595047
22535075,2568828586290466365122881,2579874011978559698752880,-11045425688093333629999
22536900,2568828586290466365122881,2579004810180826333481740,-10176223890359968358859
22538725,2568828586290466365122881,2579110170177857564855385,-10281583887391199732504
22540550,2579469771800590260744637,2579361258912404677260156,108512888185583484481
22542375,2579469771800590260744637,2579452766994620552189062,17004805969708555575
22544200,2579469771800590260744637,2580467458200504681541201,-997686399914420796564
22546025,2579469771800590260744637,2581919194729629816398009,-2449422929039555653372
22547850,2584738466727206744777508,2586593011809678876724776,-1854545082472131947268
22549675,2584738466727206744777508,2583317954728202876609749,1420511999003868167759
22551500,2584738466727206744777508,2583459139155393139873136,1279327571813604904372
22553325,2584738466727206744777508,2582006785501804676366685,2731681225402068410823
22555150,2583671719691048794672984,2583500255806874048957521,171463884174745715463
22556975,2583671719691048794672984,2583687665810350078503971,-15946119301283830987
22558800,2583671719691048794672984,2584072068785672645662300,-400349094623850989316
22560625,2583671719691048794672984,2584258012191154233407745,-586292500105438734761
22562450,2584073477545987073481445,2584289525013535383419836,-216047467548309938391
22564275,2584073477545987073481445,2584345203006999903900773,-271725461012830419328
22566100,2584073477545987073481445,2581064828232287184997291,3008649313699888484154
22567925,2584073477545987073481445,2585795097035301203892667,-1721619489314130411222
22569750,2585870148733970506628670,2585790482881118934904543,79665852851571724127
22571575,2585870148733970506628670,2585863268482374044341753,6880251596462286917
22573400,2585870148733970506628670,2583857879976186519420184,2012268757783987208486
22575225,2585870148733970506628670,2583943982827378233989727,1926165906592272638943
22577050,2584092014428180050615155,2584555278375963578363799,-463263947783527748644
22578875,2584092014428180050615155,2584451642030600305482637,-359627602420254867482
22580700,2584092014428180050615155,2614292255111350703825018,-30200240683170653209863
22582525,2611004155043179630121952,2610886184836538351564611,117970206641278557341
22584350,2611004155043179630121952,2620399610089586341758512,-9395455046406711636560
