blockNumber,answer,totalSupply,diff
22213875,9368063302323863474263181,9372893924773903823051842,-4830622450040348788661
22215700,9373945468760326005889538,9374615613280176791126077,-670144519850785236539
22217525,9365380389781742352545311,9383838475347248492161939,-18458085565506139616628
22219350,9384124940374546964058916,9386005575158628964058916,-1880634784082000000000
22221175,9384651852458725270689993,9387575368478951205344858,-2923516020225934654865
22223000,9385793309253254160086841,9388767990353930440359581,-2974681100676280272740
22224825,9361795231518294207794561,9365129744996632232901706,-3334513478338025107145
22226650,9365993930501003047309598,9366083642563792367105669,-89712062789319796071
22228475,9367392855255322845105168,9367295244421541984336203,97610833780860768965
22230300,9368691032091043499142786,9369172773582400737934588,-481741491357238791802
22232125,9362551042998076156105958,9363707481307488162006913,-1156438309412005900955
22233950,9364538771727820909580088,9365408759083011913888863,-869987355191004308775
22235775,9366118231649249777392378,9366084976367426582897243,33255281823194495135
22237600,9367314807736492766271268,9367627615001105942442318,-312807264613176171050
22239425,9363499527192240529959879,9365012954239503593444749,-1513427047263063484870
22241250,9391620299998917919348672,9395742701651752106517336,-4122401652834187168664
22243075,9397892711517165357661741,9397568297141696523828665,324414375468833833076
22244900,9398730535566167917132017,9398309183888928824365066,421351677239092766951
22246725,9361151297994376932572646,9368168079841867565025782,-7016781847490632453136
22248550,9358349863263813774480441,9370477443159417003120403,-12127579895603228639962
22250375,9343754150901191751640555,9374476351787180673737783,-30722200885988922097228
22252200,9338880298440962468700220,9375435602717306774397910,-36555304276344305697690
22254025,9321935256772286889763603,9324771720892683520889442,-2836464120396631125839
22255850,9321065117055607329825459,9325891154439685280817647,-4826037384077950992188
22257675,9308408576026161219946594,9326225890352047970679614,-17817314325886750733020
22259500,9308666511698527743535570,9326777621800286752487605,-18111110101759008952035
22261325,9305108016167299114852075,9305563101141826380458210,-455084974527265606135
22263150,9306697697558236911724571,9307669708457948476639295,-972010899711564914724
22264975,9307377285022743810502924,9308391923626127067017008,-1014638603383256514084
22266800,9307893194814213775221545,9309872096058431600170648,-1978901244217824949103
22268625,9303846255843687389313213,9306271667484114194519402,-2425411640426805206189
22270450,9306440148899023682824601,9306799328645635275706113,-359179746611592881512
22272275,9303712872235578038186681,9307394166029871529345901,-3681293794293491159220
22274100,9298249268708923163314194,9308049138525530019359019,-9799869816606856044825
22275925,9294770356608875649897405,9297757176696356475814701,-2986820087480825917296
22277750,9297849028115707642683895,9299180332555576130680858,-1331304439868487996963
22279575,9299305781689969672809143,9299531807132944085727450,-226025442974412918307
22281400,9299643933870688528705408,9300162623840573823000607,-518689969885294295199
22283225,9295039615640813384179462,9295367683841499835347366,-328068200686451167904
22285050,9295653152199701568908855,9298164459421532886395339,-2511307221831317486484
22286875,9294988451127989895076596,9299809164794429182986940,-4820713666439287910344
22288700,9296774808829877182986940,9289439225242473652517112,7335583587403530469828
22290525,9291222222303624844944905,9291212939777136844944905,9282526488000000000
22292350,9294526464358490564837386,9294580725236102463283016,-54260877611898445630
22294175,9295427385225179765100919,9295380569812908732476473,46815412271032624446
22296000,9287704406175530550082059,9288149882594679731404232,-445476419149181322173
22297825,9282907614731293700789307,9288697534498562493412793,-5789919767268792623486
22299650,9283252855822132077034621,9288888246570599158786933,-5635390748467081752312
22301475,9277705500752223999563774,9289438097241609566933699,-11732596489385567369925
22303300,9277415210136241886406089,9277450366529628224746685,-35156393386338340596
22305125,9280556412360757370918782,9280688794829275900056270,-132382468518529137488
22306950,9281163251853917410040657,9280851840823604512334763,311411030312897705894
22308775,9283016955377337116255748,9282579976702025924477721,436978675311191778027
22310600,9276433350184171318219958,9276437259715887933160014,-3909531716614940056
22312425,9277316370854338822464053,9277296987615756352364651,19383238582470099402
22314250,9274791219091576130157494,9278615507035522917775102,-3824287943946787617608
22316075,9271413871000204072445641,9278832456299483597477456,-7418585299279525031815
22317900,9263947771095976484201335,9264146890416045468746852,-199119320068984545517
22319725,9261141635294998207401264,9265255263847055730113900,-4113628552057522712636
22321550,9263373828458517777303665,9267580469979369449628576,-4206641520851672324911
22323375,9255943547883519705792103,9268150971106863041060315,-12207423223343335268212
22325200,9250955706728388400617765,9251057306384010149803356,-101599655621749185591
22327025,9251572143504410810315931,9252727691109401844831078,-1155547604991034515147
22328850,9254873458828121774569369,9255589557973586299415123,-716099145464524845754
22330675,9256594746766108924926862,9257744389095299715063793,-1149642329190790136931
22332500,9249948476338764806941469,9250609103898441677765893,-660627559676870824424
22334325,9251229291877436072988372,9251417616720412357498268,-188324842976284509896
22336150,9251167654702760026174710,9251642115902846555315589,-474461200086529140879
22337975,9249299723971723857812279,9251935993818715758342585,-2636269846991900530306
22339800,9248061891531138058358104,9248593137046015861257836,-531245514877802899732
22341625,9244780130488890860146984,9249204219857155747591922,-4424089368264887444938
22343450,9245483790528746388018846,9249871457570519634249791,-4387667041773246230945
22345275,9245806179090978543161915,9251019479853049370845877,-5213300762070827683962
22347100,9243340984221922237192474,9243714402413665613517329,-373418191743376324855
22348925,9244334446173301966897728,9245163675147253119874322,-829228973951152976594
22350750,9245506118395020739936389,9245371710392258417119983,134408002762322816406
22352575,9242602643387462245388213,9245560999815328901254877,-2958356427866655866664
22354400,9240524774454615405897549,9240816943858356991050697,-292169403741585153148
22356225,9239626427249111418765198,9241472827536627790623156,-1846400287516371857958
22358050,9240219948541656582748358,9242132768945419547859024,-1912820403762965110666
